Geo Point;Geo Shape;INSEE;commune;gml_id;GID;IDENT;TYPE;NOM;ETAT;NBPLACES;NBVELOS;NBELEC;NBCLASSIQ;CDATE;MDATE;code_commune;GEOM_O
44.84837, -0.5981;"{""coordinates"": [-0.5981, 44.84837], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.12;12;13;VLS;Barriere St Medard;DECONNECTEE;20;0;0;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84819, -0.59197;"{""coordinates"": [-0.59197, 44.84819], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.13;13;14;VLS;Dubreuil Turenne;CONNECTEE;25;5;2;3;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84521, -0.59206;"{""coordinates"": [-0.59206, 44.84521], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.14;14;15;VLS;Rue de la Croix Blanche;MAINTENANCE;14;0;0;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84947, -0.54525;"{""coordinates"": [-0.54525, 44.84947], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.15;15;16;VLS;Galin;CONNECTEE;14;16;9;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.8469, -0.58219;"{""coordinates"": [-0.58219, 44.8469], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.16;16;17;VLS;Palais Gallien;CONNECTEE;10;4;4;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84423, -0.58164;"{""coordinates"": [-0.58164, 44.84423], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.17;17;18;VLS;Huguerie;CONNECTEE;12;2;2;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84465, -0.57745;"{""coordinates"": [-0.57745, 44.84465], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.18;18;19;VLS;Place Tourny;CONNECTEE;18;12;6;6;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84314, -0.57724;"{""coordinates"": [-0.57724, 44.84314], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.19;19;20;VLS;Grands Hommes;CONNECTEE;20;11;3;8;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84122, -0.5756;"{""coordinates"": [-0.5756, 44.84122], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.20;20;21;VLS;Puy Paulin;CONNECTEE;5;10;4;6;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83826, -0.57648;"{""coordinates"": [-0.57648, 44.83826], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.21;21;22;VLS;Hotel de Ville;DECONNECTEE;25;8;4;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83483, -0.58019;"{""coordinates"": [-0.58019, 44.83483], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.22;22;23;VLS;Republique;CONNECTEE;32;8;3;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83325, -0.58308;"{""coordinates"": [-0.58308, 44.83325], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.23;23;24;VLS;Liberation;CONNECTEE;5;11;7;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.831, -0.58734;"{""coordinates"": [-0.58734, 44.831], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.24;24;25;VLS;Francois de Sourdis;CONNECTEE;10;5;3;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82797, -0.59349;"{""coordinates"": [-0.59349, 44.82797], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.25;25;26;VLS;Xaintrailles;CONNECTEE;12;4;2;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82654, -0.60184;"{""coordinates"": [-0.60184, 44.82654], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.26;26;27;VLS;Bordeaux II;CONNECTEE;18;2;0;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82986, -0.60351;"{""coordinates"": [-0.60351, 44.82986], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.27;27;28;VLS;Hopital Pellegrin;CONNECTEE;26;6;6;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.832736, -0.60997;"{""coordinates"": [-0.60997, 44.832736], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.28;28;29;VLS;St Augustin;CONNECTEE;10;10;4;6;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83838, -0.61689;"{""coordinates"": [-0.61689, 44.83838], ""type"": ""Point""}";33281;Mérignac;CI_VCUB_P.29;29;30;VLS;Place Mondesir;CONNECTEE;12;6;3;3;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33281;0
44.85175, -0.61438;"{""coordinates"": [-0.61438, 44.85175], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.30;30;31;VLS+;Cauderan;CONNECTEE;2;14;7;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85261, -0.59923;"{""coordinates"": [-0.59923, 44.85261], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.31;31;32;VLS;Parc Bordelais;CONNECTEE;3;13;9;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.854092, -0.593128;"{""coordinates"": [-0.593128, 44.854092], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.32;32;33;VLS;Barriere du Medoc;CONNECTEE;5;16;11;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85379, -0.58864;"{""coordinates"": [-0.58864, 44.85379], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.33;33;34;VLS;Tivoli;MAINTENANCE;13;0;0;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85005, -0.58547;"{""coordinates"": [-0.58547, 44.85005], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.34;34;35;VLS;Croix de Seguey;CONNECTEE;13;5;4;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85005, -0.582;"{""coordinates"": [-0.582, 44.85005], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.35;35;36;VLS;Place de Longchamps;CONNECTEE;15;1;1;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84849, -0.57581;"{""coordinates"": [-0.57581, 44.84849], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.36;36;37;VLS;Jardin Public;CONNECTEE;24;2;1;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84641, -0.5802;"{""coordinates"": [-0.5802, 44.84641], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.37;37;38;VLS;Fondaudege Museum;CONNECTEE;9;7;3;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84423, -0.57434;"{""coordinates"": [-0.57434, 44.84423], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.38;38;39;VLS;Quinconces;CONNECTEE;30;10;5;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84293, -0.5739;"{""coordinates"": [-0.5739, 44.84293], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.39;39;40;VLS;Grand Theatre;CONNECTEE;2;18;13;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83889, -0.57466;"{""coordinates"": [-0.57466, 44.83889], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.40;40;41;VLS;Place St Projet;CONNECTEE;10;8;7;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83924, -0.57203;"{""coordinates"": [-0.57203, 44.83924], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.41;41;42;VLS;Camille Jullian;CONNECTEE;12;4;2;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83707, -0.57279;"{""coordinates"": [-0.57279, 44.83707], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.42;42;43;VLS;St Paul;CONNECTEE;12;6;2;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83606, -0.57544;"{""coordinates"": [-0.57544, 44.83606], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.43;43;44;VLS;Musee d'Aquitaine;CONNECTEE;11;9;7;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.83312, -0.57695;"{""coordinates"": [-0.57695, 44.83312], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.44;44;45;VLS;Place Ste Eulalie;CONNECTEE;13;5;3;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.822803, -0.55293;"{""coordinates"": [-0.55293, 44.822803], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.45;45;46;VLS;Belcier Tram;CONNECTEE;10;11;6;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82789, -0.58605;"{""coordinates"": [-0.58605, 44.82789], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.46;46;47;VLS;Magendie;CONNECTEE;13;3;1;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82578, -0.58975;"{""coordinates"": [-0.58975, 44.82578], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.47;47;48;VLS;Barriere de Pessac;CONNECTEE;16;1;0;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.86329, -0.59995;"{""coordinates"": [-0.59995, 44.86329], ""type"": ""Point""}";33069;Le Bouscat;CI_VCUB_P.48;48;49;VLS;Emile Zola;CONNECTEE;12;6;4;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33069;0
44.85999, -0.58876;"{""coordinates"": [-0.58876, 44.85999], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.49;49;50;VLS;Mandron Godard;CONNECTEE;5;9;9;0;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.862559, -0.583247;"{""coordinates"": [-0.583247, 44.862559], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.50;50;51;VLS;Place Ampere;CONNECTEE;8;12;7;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.858902, -0.581327;"{""coordinates"": [-0.581327, 44.858902], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.51;51;52;VLS;Place de l'Europe;CONNECTEE;3;14;7;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85417, -0.58659;"{""coordinates"": [-0.58659, 44.85417], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.52;52;53;VLS;Parc Riviere;CONNECTEE;5;9;5;4;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.82642, -0.55732;"{""coordinates"": [-0.55732, 44.82642], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.53;53;54;VLS;Rue St Vincent de Paul;CONNECTEE;27;17;12;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85462, -0.57435;"{""coordinates"": [-0.57435, 44.85462], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.54;54;55;VLS;Camille Godard;CONNECTEE;12;3;1;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85171, -0.57427;"{""coordinates"": [-0.57427, 44.85171], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.55;55;56;VLS;Place Paul Doumer;CONNECTEE;18;2;1;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.85155, -0.57163;"{""coordinates"": [-0.57163, 44.85155], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.56;56;57;VLS;Eglise St Louis;CONNECTEE;15;1;0;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
