Geo Point;Geo Shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.8882273, -0.6111779;"{""coordinates"": [-0.6111779, 44.8882273], ""type"": ""Point""}";33075;CUBPK77;80822705200012;4.50€ pour 2 à 5 passagers;Avenue de Terrefort 33520 Bruges;KEOLIS;4.5;;;4.5;4.5;3;PAYANT_TARIF_PARC_RELAIS;;0.0;48;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.2;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;58;0;259;2.2;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;58;LIBRE;Parc-Relais Gare De Bruges;58;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2016;;0;2018-06-01T02:00:00+02:00;58;0.0;
44.8881184, -0.5179124;"{""coordinates"": [-0.5179124, 44.8881184], ""type"": ""Point""}";33249;CUBPK50;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;Chemin du Grand Came 33530 Bassens;KEOLIS;3.5;;;3.5;3.5;4;PAYANT_TARIF_PARC_RELAIS;;0.0;150;0;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.2;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;0;0;3.5;PERIPHERIE;151;0;263;2.2;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;151;LIBRE;Parc-Relais La Gardette Sud;151;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2008;;36;2018-06-01T02:00:00+02:00;151;0.0;
44.8651709, -0.5245093;"{""coordinates"": [-0.5245093, 44.8651709], ""type"": ""Point""}";33249;CUBPK45;80822705200012;4.5€ pour tous les occupants du VL;Route de Bordeaux 33130 Lormont;KEOLIS;4.5;;0.0;4.5;4.5;16;PAYANT_TARIF_PARC_RELAIS;;0.0;422;26;0;0;0;10;0.0;5;4.5;4.5;4.5;4.5;;1.9000000000000001;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;14;0;4.5;PERIPHERIE;578;6;265;1.9000000000000001;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;578;LIBRE;Parc-Relais Buttiniere;601;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2004;;52;2018-06-01T02:00:00+02:00;578;0.0;
44.8315424, -0.6458586;"{""coordinates"": [-0.6458586, 44.8315424], ""type"": ""Point""}";33281;CUBPK53;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;250 Avenue de la Marne 33700 Mérignac;KEOLIS;3.5;;0.0;3.5;3.5;8;PAYANT_TARIF_PARC_RELAIS;;0.0;381;14;6;0;0;10;0.0;5;3.5;3.5;3.5;3.5;;2.0;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;4;0;3.5;PERIPHERIE;398;0;270;2.0;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;398;LIBRE;Parc-Relais Quatre Chemins;398;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2008;;38;2018-06-01T02:00:00+02:00;398;0.0;
44.8328142, -0.6980962;"{""coordinates"": [-0.6980962, 44.8328142], ""type"": ""Point""}";33281;CUBPK11;320 229 644 05241;;Avenue Kennedy - 33700 MERIGNAC;INDIGO_PARK;4.5;;;3.0;14.5;25;PAYANT_TARIF_HORAIRE;;;;0;0;0;0;0;0.0;1;9.700000000000001;;8.5;6.5;16.0;2.3000000000000003;2023-02-22T12:14:07+01:00;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;0;0;3.5;PERIPHERIE;3377;0;272;2.3000000000000003;INDIGO_PARK;AEROPORT_DE_BORDEAUX;0;NORMAL_PAYANT;0;0;0;OUVERT;Aeroport P2 Flexi;;CONCESSION_DE_SERVICE;SURFACE;2008;;0;2018-06-01T02:00:00+02:00;3377;0.0;
44.8318558, -0.700669;"{""coordinates"": [-0.700669, 44.8318558], ""type"": ""Point""}";33281;CUBPK10;320 229 644 05241;;Avenue Kennedy - 33700 MERIGNAC;INDIGO_PARK;7.5;;;4.5;17.1;0;PAYANT_TARIF_HORAIRE;;;;0;0;0;0;0;0.0;1;13.1;;12.3;11.5;18.0;2.3000000000000003;2023-02-22T12:14:07+01:00;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;0;0;4.5;PERIPHERIE;375;0;274;2.3000000000000003;INDIGO_PARK;AEROPORT_DE_BORDEAUX;0;NORMAL_PAYANT;0;0;0;OUVERT;Aeroport P1 Proxi;;CONCESSION_DE_SERVICE;SURFACE;2008;;0;2018-06-01T02:00:00+02:00;375;0.0;
44.7942149, -0.6219984;"{""coordinates"": [-0.6219984, 44.7942149], ""type"": ""Point""}";33318;CUBPK56;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Avenue du Docteur Albert Schweitzer 33600 Pessac;KEOLIS;4.5;;0.0;4.5;4.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;222;56;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;1.85;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;249;4;277;1.85;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;249;LIBRE;Parc-Relais Unitec;232;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2004;;28;2018-06-01T02:00:00+02:00;249;0.0;
44.7933143, -0.6569533;"{""coordinates"": [-0.6569533, 44.7933143], ""type"": ""Point""}";33318;CUBPK59;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Rue Notre Dame de Lorette 33600 Pessac;KEOLIS;3.5;;0.0;3.5;3.5;4;PAYANT_TARIF_PARC_RELAIS;;0.0;135;30;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.1;2023-09-17T14:59:58+02:00;https://www.infotbm.com/fr/parc-relais;4;0;3.5;PERIPHERIE;148;7;278;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;148;LIBRE;Parc-Relais Gare De Pessac Alouette;148;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2015;;0;2018-06-01T02:00:00+02:00;148;0.0;
44.822652, -0.5459965;"{""coordinates"": [-0.5459965, 44.822652], ""type"": ""Point""}";33063;CUBPK85;320 229 644 05241;;16 Rue des Maraichers 33800 Bordeaux;INDIGO_PARK;1.8;17.6;;0.6;17.6;10;PAYANT_TARIF_HORAIRE;95.0;;147;0;0;0;0;0;0.0;6;8.700000000000001;;7.2;4.8;17.6;1.9000000000000001;2023-09-17T15:00:49+02:00;https://fr.parkindigo.com/;4;0;1.2;CENTRE;520;0;331;1.9000000000000001;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Ars - Belcier;225;GESTION_PRIVEE;SILO;2018;95.0;14;2018-11-23T16:15:59+01:00;520;1.8;40.0
44.843274, -0.5587228;"{""coordinates"": [-0.5587228, 44.843274], ""type"": ""Point""}";33063;CUBPK87;43161642400062;1h30 gratuite sur ticket Carrefour;Allee Serr 33100 Bordeaux;INDIGO_TPS;3.2;12.0;;1.0;14.8;3;PAYANT_TARIF_HORAIRE;90.0;;;0;0;0;0;0;0.0;1;11.0;;9.700000000000001;7.4;26.8;1.9000000000000001;2023-04-24T10:45:11+02:00;https://fr.parkindigo.com/parking/bordeaux-33000/bordeaux-bastide-33001900;0;0;2.0;CENTRE;158;0;333;1.9000000000000001;BP3000;AUTRE;0;NORMAL_PAYANT;158;0;0;OUVERT;Ups Carrefour Bastide;;GESTION_PRIVEE;ENTERRE;2018;90.0;0;2018-11-23T16:41:00+01:00;158;1.8;
